legitimate,phishing
,http://www.crestonwood.com/router.php
,http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4
,http://rgipt.ac.in
,http://www.iracing.com/tracks/gateway-motorsports-park/
,http://www.mutuo.it
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,
,http://vamoaestudiarmedicina.blogspot.com/
,https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/
,https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp
https://www.lifewire.com/tcp-port-21-818146,
,https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/
,https://www.missfiga.com/
,http://wave.progressfilm.co.uk/time3/?logon=myposte
,https://www.chiefarchitect.com/
,http://beta.kenaidanceta.com/postamok/d39a2/source
http://www.ktplasmachinery.com/cs/,
,http://www.2345daohang.com/
,http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/
,https://blog.hubspot.com/marketing/email-open-click-rate-benchmark
,http://batvrms.net/deliver/D2017HL/u.php
,http://sophie-world.com/games/port-and-starboard
,https://polarklimatsgserver.blogspot.com/
,https://www.provenancevineyards.com/
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,
,http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html
,http://www.enkiquotes.com/
,http://xh167894743.el.r.appspot.com/
,http://dichvuvnpt.com/home/components/com_user/bbtonline.html
,https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo
,https://www.chiostrodelbramante.it/
,http://yummy-cummy-in-my-tummy.tumblr.com
,http://www.j-net.cn/cms
,http://press-preview.weebly.com
,http://realestateinvestordatabase.com/wp-content/plugins/portfolio-cpt/tax/login.php
,http://vufd.hyperphp.com/amzn
,http://www.courgeon-immobilier.fr/wp-content/uploads/2019/07/tpg/9ac6ba30463d0fb7974c06843717284c/
,http://taccs.hu
,http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs
,https://grassform-my.sharepoint.com/:b:/g/personal/accounts_grassform_co_uk/EYsmX_DhwSVAlooW1ETKf50BIChCl1rrAfmqvTLvySTLQQ?e=UbjoWA
,https://www.merriam-webster.com/dictionary/tabloid
,https://www.bls.gov/oes/current/oes292035.htm
,http://vaportotal.net/catalog/language/english/product/special/index.php?cid=474fe1ba8fa8cfd26e81532c7baac4a1&amp;SSID=d2b816c9e8292c96546684e342c2e77cd27f39cf
,https://www.123formbuilder.com/form-4850478/
,http://phan.thuchao.free.fr/Hao/YouTube/ba.htm
,https://ru.wikipedia.org/wiki/MultiMedia_Card
,http://www.astroresidential.co.uk/application/data/
http://www.shadetreetechnology.com/V4/validation/44ccd8b487c7fe797dc775e919236002,
,http://searchnetworking.techtarget.com/tip/Comparisons-of-coaxial-cable-fiber-optic-cable-and-twisted-pair-cable
,https://sites.google.com/site/ilyasdxih
,https://docs.google.com/forms/d/e/1FAIpQLSedi778KA_QpFW-6VseK02w_qghyAY4KrmhVAHDl-qBzUQytg/viewform
,https://www.provenancevineyards.com/our-wines
,http://sharedpont77wwjxjx.df.r.appspot.com/wp-content/xp.php
,http://support.brother.com/g/s/id/pdf_pub/faq/faq002478/en/Scan_To_FTP.pdf
,http://www.excel-easy.com/examples/shortest-path-problem.html
,https://mailserver67187.uc.r.appspot.com
,http://www.storybookalpacas.com/account4/index2.html
,https://storage.cloud.google.com/prprhrhprc.appspot.com/index.htm#oncall-infra@eqiom.com
,http://stattrek.com/statistics/dictionary.aspx?definition=standard%20error
,http://www.flaticon.com/free-icons/parking_403
,http://www.bobsplans.com/FreeDownloads/RouterTable.pdf
,https://en.wikipedia.org/wiki/NIC_Bank
,http://www.history.com/topics/american-civil-war/gettysburg-address
,http://sloaneandhyde.com/drs/new2015/document.php/index.css
,https://documentos.sfo2.digitaloceanspaces.com/ordem.html
,http://remontka.pro/mac-address/
,https://en.wikipedia.org/wiki/Gateway
,http://elexusbettgiris4.blogspot.com
,http://electricitypak.com/fakt/css/data/16/index.php
,http://app66560000.blogspot.com/
,https://twitter.com/mimosagrillclt
,http://www.calculate.co.il/
,http://www.whio.com/news/local/thief-breaks-into-save-lot-steals-steaks-dayton/dX1YgaOZ7zmj18bPd4tU6L/
https://www.markspcsolution.com/,
https://wwwfacebook.com,
https://google.com,
https://www.mummyandmini.com/,
,http://interimmanagement.uk.com/wp-includes/js/chronopost.fr/suivi/accueil/infos/ifram2.php?Code_Smserror_tapnovcodeSms
,https://www.showplaceicon.com/Browsing/Cinemas/Details/8863
,http://securityxploded.com/router-password-kracker.php
,http://hidayat.uz/928375602332311ochttp3A2F2F2Fws2FISAPIdllFM2MContact26item3B14276952031324requestePPd3DwolandgioielliPPP26qidQ-jlc@amahousse.com.html
,http://www.ilovefreesoftware.com/16/featured/5-best-free-network-packet-sniffer.html
,https://apshop.vn/
,https://www.facebook.com/thekeyboardcat
,https://www.soul-flower.com/
,http://www.tech-faq.com/mms.html
,http://sniz.porn
,http://enerclim.com/cs/
,http://www.inquirelive.co.uk/
,https://www.wordnik.com/words/blackletter
,https://bit.ly/2E6D7J1
,http://www.noithatchauau.vn/1./db/box/
,https://www.gadgetzone.com.my/
,http://smallbusiness.chron.com/enabling-google-chrome-menu-bar-78783.html
,http://www.aegisit.net/dhl/DHL%20REVENGE%20BY%20ALIBOBO/
,https://coderwall.com/p/kvzbpa/don-t-use-array-foreach-use-for-instead
,http://afriquelemou.free.fr/templates/rhuk_milkyway/sdnconconsadf.html
,http://www.wealthdaily.com/articles/nokia-stock/2147
,https://www.emploi-petrole.com/
https://www.youtube.com/,
https://gdg.community.dev/gdg-coimbatore/,
https://www.lovetheedit.com/postnewo/www.dropbox.com/1223/e7728ac72ee30a7cca85feca45595c67,
,http://dic.academic.ru/dic.nsf/ruwiki/1425594
,http://www.biology4kids.com/files/cell2_activetran.html
,http://union-companies.000webhostapp.com/
,https://drive.google.com/file/d/1u7ag3FepresW0JRZehtrU5hLGGltMq6P/view?usp=sharing/
,http://poligrafiapias.com/Secured-adobe/2b078be1175659f354b82191320e7c51/
,
